Component_ID,Component_Type,Vibration,Temperature,Pressure,Operating_Hours,Remaining_Useful_Life,Machine_ID,Timestamp,Last_Service_Date
CMP0001,Hydraulic Cylinder,3.9062586515789897,51.65813773758454,179.95930661551262,2547,470,M012,2025-05-25 05:39:07,2024-12-04 05:39:07
CMP0002,Hydraulic Cylinder,4.948031074205857,87.76760051440245,179.7560053214547,457,466,M015,2025-07-30 22:35:46,2025-06-24 22:35:46
CMP0003,Hydraulic Cylinder,0.7000148277218115,78.04547692167058,272.62154686443733,1750,477,M002,2025-07-16 12:26:52,2025-01-28 12:26:52
CMP0004,Gear,0.9518940383792682,98.97197493077998,221.3981223027481,1467,378,M008,2025-08-10 21:08:13,2025-03-25 21:08:13
CMP0005,Gear,4.719988433102185,100.0,229.60252316262668,596,265,M010,2025-08-29 10:51:57,2025-06-24 10:51:57
CMP0006,Engine,2.2084615704306176,81.40780545065105,224.56018346492652,2091,402,M016,2025-02-23 21:04:08,2024-08-23 21:04:08
CMP0007,Gear,2.9145626088612864,93.40494387618025,300.0,1091,153,M002,2025-01-28 03:42:25,2024-10-30 03:42:25
CMP0008,Engine,0.8989813979930779,62.969798654385876,138.62323095877636,1064,798,M002,2025-08-06 03:07:05,2025-05-17 03:07:05
CMP0009,Engine,0.7428380309806962,94.98981644346942,54.935428418655285,1391,651,M018,2025-04-05 13:10:58,2025-01-21 13:10:58
CMP0010,Hydraulic Cylinder,3.4337022051149537,77.88431457049946,278.69340732341726,2129,325,M003,2025-07-06 17:28:22,2025-01-07 17:28:22
CMP0011,Hydraulic Cylinder,2.794035453507649,87.75694362772745,59.93189296033009,1274,514,M009,2025-07-15 05:07:34,2025-04-02 05:07:34
CMP0012,Hydraulic Cylinder,3.5811001708178534,40.12407914037791,217.5103487159415,442,648,M008,2025-02-10 09:49:41,2024-12-18 09:49:41
CMP0013,Hydraulic Cylinder,5.0,75.91497358788405,67.06321092250543,2105,375,M016,2025-01-13 04:56:43,2024-08-16 04:56:43
CMP0014,Engine,1.224879080445222,90.83098310870403,166.14079256750344,682,666,M003,2025-02-04 21:55:49,2024-11-28 21:55:49
CMP0015,Hydraulic Cylinder,3.158713147681809,69.20059978647106,99.66669150968193,3961,237,M001,2025-08-27 23:32:16,2024-11-07 23:32:16
CMP0016,Gear,1.9075828863314008,48.60359429754624,300.0,2594,299,M001,2025-07-31 10:08:45,2024-12-29 10:08:45
CMP0017,Engine,0.8022022948625851,85.19211630192959,159.72421354012985,3550,371,M002,2025-07-04 07:43:52,2024-09-08 07:43:52
CMP0018,Engine,3.7822836582938923,85.59655905748792,286.58679587888406,1108,479,M011,2025-08-08 08:37:46,2025-04-30 08:37:46
CMP0019,Engine,1.516203597220498,49.75196400896956,156.02071378210834,194,939,M004,2025-07-12 19:40:24,2025-07-06 19:40:24
CMP0020,Gear,3.665361817724148,87.49415229944297,258.5620117416135,2616,90,M011,2025-04-15 22:45:35,2024-05-13 22:45:35
CMP0021,Engine,2.921571220956695,83.77824270081283,104.54753173871727,1160,591,M006,2025-03-14 17:21:53,2025-01-08 17:21:53
CMP0022,Gear,4.681144305653165,74.25957284166556,128.88919127672372,4499,50,M001,2025-09-10 09:31:47,2024-09-10 09:31:47
CMP0023,Hydraulic Cylinder,1.4114961228354668,63.36182052773869,144.3608301717372,4471,303,M007,2025-04-07 17:42:15,2024-04-17 17:42:15
CMP0024,Gear,3.559575274514484,88.42802684216623,210.803391406611,1601,264,M002,2025-08-25 16:04:56,2025-03-14 16:04:56
CMP0025,Gear,1.0438961741854205,89.13945989482251,277.42931697988104,3107,176,M013,2025-08-06 13:59:38,2024-08-06 13:59:38
CMP0026,Gear,1.2009089466256075,88.3139704942208,160.8598703531382,55,587,M019,2025-07-03 03:44:56,2025-06-14 03:44:56
CMP0027,Gear,4.579515165120169,48.78548722647943,115.38799306408224,1188,403,M014,2025-06-08 21:48:29,2025-01-23 21:48:29
CMP0028,Engine,4.344006133388361,66.86206557987526,164.01992258157864,3818,261,M002,2025-09-14 17:13:50,2024-12-15 17:13:50
CMP0029,Gear,2.3810873908948995,59.43076998044489,161.29034276712085,1808,363,M006,2025-01-29 15:28:36,2024-08-12 15:28:36
CMP0030,Gear,0.9525247630691733,80.7211497164497,214.96349637115,4363,61,M003,2025-07-15 09:51:02,2024-07-15 09:51:02
CMP0031,Gear,3.9292414313988506,50.30001387373842,146.50296153682,32,561,M015,2025-06-29 10:19:05,2025-06-12 10:19:05
CMP0032,Engine,1.9301507415652386,54.98387506042856,197.46386106029297,3235,504,M011,2025-06-04 04:50:06,2024-12-26 04:50:06
CMP0033,Gear,4.933792606444883,96.81019643042235,77.54157611101955,1926,114,M019,2025-04-11 05:40:16,2024-11-17 05:40:16
CMP0034,Gear,1.4387518744399774,73.0884588510647,293.26772088630776,3830,114,M018,2025-03-17 21:18:54,2024-06-30 21:18:54
CMP0035,Gear,3.459034354100596,75.16350877639415,244.89625426659074,3987,50,M003,2025-07-22 23:26:51,2024-07-22 23:26:51
CMP0036,Hydraulic Cylinder,0.8763263358534833,42.65101191171069,103.26770633123866,27,890,M012,2025-03-23 20:24:36,2025-03-22 20:24:36
CMP0037,Gear,2.3357832935501843,87.95406518207321,212.04711253154835,3433,50,M017,2025-05-28 19:46:46,2024-09-18 19:46:46
CMP0038,Gear,2.211092775924947,59.09685313355974,300.0,160,473,M003,2025-05-10 19:44:43,2025-04-12 19:44:43
CMP0039,Gear,5.0,75.95719977146013,176.48231815940906,1888,135,M006,2025-03-27 04:16:19,2024-07-25 04:16:19
